reviews,lemmas,lemmas,lemmas,aspectCategory
"In any event, even though its a bit on the pricey side, we still love this restaurant and will definitely go back.","['though', 'event', 'love', 'go', 'restaur', 'back', 'bite', 'side', 'pricey', 'definit', 'still', 'even']",pricey side;still love;definitely go;,pricey side;we love;restaurant love;,anecdotes/miscellaneous
I definitely will go back.,"['definit', 'go', 'back']",,i go;,anecdotes/miscellaneous
"I don't like Indian food too much and this was delicious, however you want to factor that into the equation.","['delici', 'indian', 'equat', 'want', 'like', 'howev', 'food', 'much', 'factor']",n't like;indian food;too much;,i like;n't like;indian food;food like;this was;you want;that factor;,food
"at taj, vegetarians can rejoice-all the dishes are manna from heaven.","['dish', 'rejoic', 'taj', 'heaven', 'vegetarian', 'manna']",,vegetarians rejoice;dishes are;,food
Finally!,['final'],,,anecdotes/miscellaneous
"Forget the rush and the wait and the noise (which isn't actually that bad), I mean please, who goes to a steakhouse to be coddled and romantic?","['wait', 'rush', 'nois', 'pleas', 'forget', 'go', 'mean', 'steakhous', 'coddl', 'bad', 'actual', 'romant']",n't actually;i mean;mean please;,rush forget;which is;n't is;i mean;who goes;,ambience
"Having hunted around for a quiet, romantic, yet not hideously expensive restaurant I stumbled across reviews for La Lanterna and gave it a shot.","['give', 'across', 'expens', 'shoot', 'restaur', 'hunt', 'around', 'stumbl', 'review', 'la', 'quiet', 'lanterna', 'yet', 'hideous', 'romant']",yet not;not hideously;hideously expensive;expensive restaurant;,quiet restaurant;romantic restaurant;not hideously;expensive restaurant;i stumbled;shot gave;,anecdotes/miscellaneous
I've never been disappointed.,"['disappoint', 'never']",never been;,i disappointed;never been;,anecdotes/miscellaneous
I won't go back unless someone else is footing the bill.,"['go', 'bill', 'foot', 'els', 'unless', 'back', 'someon']",n't go;else is;,i go;n't go;someone footing;bill footing;,price
"We live in New Jersey and whenever we go into New York City we buy bagels to eat hot and then to freeze (they told me that if I call in the order, they'd bring it out to the car so I wouldn't have to look for parking).","['citi', 'eat', 'call', 'new', 'tell', 'look', 'whenev', 'go', 'buy', 'hot', 'freez', 'car', 'york', 'park', 'bagel', 'live', 'bring', 'jersey', 'order']",new jersey;new york;york city;buy bagels;i call;n't have;,we live;new jersey;we go;new city;we buy;bagels buy;they told;me told;i call;they bring;it bring;i have;n't have;,service
"From the street it looks very hidden, and is actually an old warehouse.","['look', 'old', 'hide', 'actual', 'street', 'warehous']",very hidden;old warehouse;,it looks;old warehouse;,anecdotes/miscellaneous
Jimmy's is hands down the hottest night spot in the Bronx.,"['hottest', 'jimmi', 'night', 'spot', 'bronx', 'hand']",is hands;hottest night;,jimmy is;hottest spot;spot hands;,ambience
And I would have to agree with the masses in terms of service - delivery is their Achilles' heel.,"['term', 'mass', 'agre', 'heel', 'achil', 'deliveri', 'servic', 'would']",,i have;,service
My boyfriend and I have been to The Minnow four times now and we have consistently been impressed.,"['time', 'impress', 'consist', 'boyfriend', 'minnow', 'four']",consistently been;,boyfriend been;we impressed;,anecdotes/miscellaneous
"The $300 bill was a bit steep, but the experience was great.","['steep', 'bite', 'bill', 'experi', 'great']",bit steep;,bill was;experience was;,price
"I wouldn't mind going back some time, but not before trying others nearby.","['nearbi', 'time', 'mind', 'go', 'tri', 'other', 'back']",n't mind;trying others;,i mind;n't mind;not before;others trying;,anecdotes/miscellaneous
"Nice ambiance, nice little bar, good bartender, Francois, and good service.","['littl', 'good', 'bartend', 'nice', 'servic', 'francoi', 'ambianc', 'bar']",nice ambiance;nice little;little bar;good bartender;good service;,nice ambiance;nice bar;little bar;good bartender;good service;,service
I found this restaurant to be one that truly values its patrons.,"['patron', 'one', 'restaur', 'truli', 'find', 'valu']",truly values;,i found;restaurant be;that values;patrons values;,anecdotes/miscellaneous
"The calamari comes with an incredible sauce, and the duck noodles are yummy as well.","['sauc', 'well', 'noodl', 'calamari', 'duck', 'yummi', 'incred', 'come']",incredible sauce;yummy as;as well;,calamari comes;incredible sauce;noodles are;,food
I would definitely go back -- if only for some of those exotic martinis on the blackboard.,"['martini', 'go', 'exot', 'blackboard', 'would', 'definit', 'back']",definitely go;exotic martinis;,i go;exotic martinis;,food
"For some reason the place was empty when we got in and remained so for the entire evening, I don't understand why but we had a blast and will definately go back the next time we are in the area.","['area', 'defin', 'place', 'reason', 'get', 'remain', 'blast', 'time', 'go', 'empti', 'entir', 'next', 'understand', 'back', 'even']",entire evening;n't understand;definately go;next time;,place was;we got;entire evening;i understand;n't understand;we had;blast had;next time;we are;,anecdotes/miscellaneous
Simple comfort food and what hot and lage portions.,"['simpl', 'comfort', 'hot', 'food', 'lage', 'portion']",lage portions;,simple food;hot portions;,food
But I just would like to say I read the reviews people left and thats why I checked it out.,"['say', 'peopl', 'leav', 'read', 'review', 'like', 'check', 'would', 'that']",i read;,i like;i read;reviews read;people left;that s;i checked;it checked;,anecdotes/miscellaneous
"Stay away from the two specialty rolls on the menu, though- too much avocado and rice will fill you up right quick.","['roll', 'though', 'avocado', 'two', 'fill', 'right', 'away', 'specialti', 'rice', 'quick', 'menu', 'stay', 'much']",too much;much avocado;right quick;,much avocado;avocado though-;you fill;,food
"I've eaten at Pizza Gruppo a few times, but more often I order delivery.","['eat', 'time', 'gruppo', 'deliveri', 'often', 'pizza', 'order']",few times;more often;often i;i order;,i eaten;few times;i order;delivery order;,anecdotes/miscellaneous
We didn't get drink refills and she didn't even offer us the option of dessert.,"['dessert', 'refil', 'option', 'get', 'offer', 'us', 'drink', 'even']",n't get;drink refills;n't even;even offer;,we get;n't get;drink refills;refills get;she offer;n't offer;option offer;,service
Beautiful experience.,"['experi', 'beauti']",beautiful experience;,beautiful experience;,anecdotes/miscellaneous
The bagels are also reasonably priced for NYC.,"['reason', 'price', 'also', 'nyc', 'bagel']",also reasonably;reasonably priced;,bagels priced;,price
"If you can handle that, it's a great place for a business dinner, fun with friends or simply a table for 2.","['place', 'tabl', 'busi', 'simpli', 'dinner', 'fun', 'great', 'friend', 'handl']",great place;,you handle;that handle;it 's;great place;,anecdotes/miscellaneous
Decor leaves something to be desired.,"['desir', 'decor', 'leav', 'someth']",leaves something;,decor leaves;something leaves;,ambience
Jimmy is Dominican!,"['jimmi', 'dominican']",,jimmy is;,anecdotes/miscellaneous
"Also, specify if you like your food spicy- its rather bland if you don't.","['specifi', 'spici', 'bland', 'rather', 'also', 'like', 'food']",,you like;food spicy-;rather bland;bland spicy-;you do;n't do;,food
"Our waiter was fine, the place looks nice in that not-trying-too-hard way, but at those prices, a little more should be expected of your food.","['way', 'littl', 'place', 'waiter', 'look', 'tri', 'nice', 'hard', 'price', 'expect', 'food', 'fine']",not-trying-too-hard way;little more;,waiter was;place looks;not trying;trying way;more expected;,service
Coming from Boston this place is like Emma's Pizza in Kendall Square in Cambridge (although they have more funky toppings!),"['cambridg', 'squar', 'top', 'kendal', 'place', 'although', 'funki', 'like', 'boston', 'pizza', 'come', 'emma']",more funky;funky toppings;,place is;square kendall;they have;funky toppings;toppings have;,anecdotes/miscellaneous
"When my husband and go there, we spend $60.00 (have LOBSTER TAILS UMMMMM need I say more) I can't say any more, it a place you'll never forget If you never go, you'll miss A Meal of your life time","['lobster', 'place', 'husband', 'say', 'never', 'forget', 'time', 'go', 'ummmmm', 'spend', 'life', 'meal', 'need', 'tail', 'miss']",lobster tails;tails ummmmm;ummmmm need;need i;n't say;never forget;never go;,husband go;we spend;60.00 spend;ummmmm need;i say;more say;i say;n't say;more say;you forget;never forget;you go;never go;you miss;meal miss;,food
"in an effort to increase turnover, the restaurant offers no desserts beyond the complimentary espresso cup filled with chocolate mousse.","['effort', 'dessert', 'turnov', 'offer', 'beyond', 'fill', 'cup', 'restaur', 'increas', 'espresso', 'mouss', 'chocol', 'complimentari']",increase turnover;complimentary espresso;espresso cup;,turnover increase;restaurant offers;desserts offers;complimentary espresso;,service
"I've been to this restaurant more than a dozen times and when I'm craving for Pho, Lemon grass chicken or Beef Cube on rice, this is the place to go.","['beef', 'time', 'place', 'go', 'restaur', 'chicken', 'cube', 'rice', 'pho', 'crave', 'lemon', 'dozen', 'grass']",restaurant more;i 'm;lemon grass;,i been;more dozen;i craving;this is;,food
"Oh yes, and if you are a fan of Indian oldies film stars, there are plenty of portraits of Indian actors and actresses in classic black white that adorn the walls, some of which, I would love to know where they obtained.","['wall', 'portrait', 'know', 'fan', 'black', 'love', 'film', 'indian', 'actor', 'star', 'ye', 'actress', 'oh', 'white', 'adorn', 'obtain', 'classic', 'would', 'oldi', 'plenti']",indian oldies;are plenty;indian actors;classic black;black white;,you are;indian stars;indian actors;classic white;black white;that adorn;walls adorn;some know;i love;they obtained;,ambience
"The food is spectacular, from the appitizers to the main course, and then of course the desserts, (WOW) you'll need no more.","['appit', 'dessert', 'wow', 'spectacular', 'main', 'food', 'need', 'cours']",main course;,food is;main course;you need;no more;more need;,food
The neighborhood was nice though so check out another restaurant instead.,"['though', 'neighborhood', 'anoth', 'nice', 'restaur', 'check', 'instead']",so check;,neighborhood was;restaurant check;,anecdotes/miscellaneous
My fish was delicious in an incredible curry sauce.,"['fish', 'curri', 'delici', 'sauc', 'incred']",incredible curry;,fish was;incredible sauce;,food
If you are in search of the most authentic NYC deli experience look no further than the famous and historic Katz's Deli down on the Lower East Side.,"['famou', 'deli', 'look', 'lower', 'side', 'east', 'authent', 'experi', 'nyc', 'katz', 'histor', 'search']",most authentic;authentic nyc;nyc deli;deli experience;historic katz;lower east;east side;,you are;authentic experience;nyc experience;deli experience;no further;famous katz;katz deli;lower side;,anecdotes/miscellaneous
"Even upon delivery, their juicy pork buns are quite good . .","['good', 'bun', 'pork', 'quit', 'deliveri', 'upon', 'juici', 'even']",even upon;upon delivery;quite good;,juicy buns;buns are;,food
This is also where I was from.,['also'],,this is;i was;,anecdotes/miscellaneous
Everything is for sale in here including the sculptured iron statue on the table.,"['sculptur', 'iron', 'sale', 'includ', 'tabl', 'statu', 'everyth']",here including;sculptured iron;,everything is;sculptured statue;,anecdotes/miscellaneous
"Average to good Thai food, but terrible delivery.","['thai', 'good', 'averag', 'deliveri', 'terribl', 'food']",good thai;terrible delivery;,good food;thai food;terrible delivery;,food
The space is nice but when we order our drink we were in for a surprise.,"['space', 'nice', 'surpris', 'drink', 'order']",,space is;we order;drink order;we were;,anecdotes/miscellaneous
The entire place and the treatment we received felt as a conveyor belt.,"['belt', 'place', 'receiv', 'entir', 'felt', 'treatment', 'conveyor']",entire place;,entire place;place felt;we received;,service
Joe's Pizza used to have the best slice until this pizzeria opened up.,"['best', 'use', 'joe', 'open', 'slice', 'pizza', 'pizzeria']",best slice;,pizza used;best slice;slice have;pizzeria opened;,anecdotes/miscellaneous
I in all reality felt as if I had just gotten off Air France and was in the 8th District in Paris.,"['district', 'air', 'pari', 'get', 'franc', 'th', 'realiti', 'felt']",just gotten;,i felt;i gotten;france gotten;8th district;,ambience
I have never had anything like it!,"['anyth', 'like', 'never']",never had;had anything;,i had;never had;anything had;,anecdotes/miscellaneous
"Yeah the crowd can take it a bit seriously, but it shouldn't.","['yeah', 'take', 'bite', 'serious', 'crowd']",,crowd take;it take;it should;n't should;,anecdotes/miscellaneous
And they provided a delicious dessert on the house!,"['dessert', 'delici', 'hous', 'provid']",delicious dessert;,they provided;delicious dessert;dessert provided;,food
"They are still living in the dark ages and do not have an answering machine, so if you want to make a reservation you are limited.","['make', 'reserv', 'answer', 'machin', 'limit', 'dark', 'want', 'age', 'live', 'still']",still living;not have;,they living;dark ages;not have;answering machine;machine have;you want;reservation make;you are;,service
"The food is amazing, rich pastas and fresh doughy pizza.","['fresh', 'pasta', 'doughi', 'food', 'amaz', 'rich', 'pizza']",rich pastas;fresh doughy;,food is;rich pastas;fresh pizza;doughy pizza;,food
"Food was very good, but not what I would consider out of this world.","['good', 'consid', 'world', 'food', 'would']",very good;,food was;not consider;what consider;i consider;,food
I had Lobster Bisque it has 2 oz. of Maine Lobster in it.,"['lobster', 'oz', 'main', 'bisqu']",,i had;bisque had;it has;oz has;,food
"I am Indian, and I have tried many Indian places in NY.","['place', 'ny', 'tri', 'indian', 'mani']",many indian;indian places;,i am;i tried;many places;indian places;places tried;,anecdotes/miscellaneous
"Try the Pad Thai, it's fabulous and their prices are so cheap!","['thai', 'tri', 'price', 'pad', 'fabul', 'cheap']",so cheap;,thai try;it 's;prices are;,food
"On a recent Saturday night, I was with a group of 5 at the Bread Bar.","['group', 'saturday', 'bread', 'recent', 'night', 'bar']",recent saturday;bread bar;,recent night;i was;,anecdotes/miscellaneous
Food is great and inexpensive.,"['food', 'great', 'inexpens']",,food is;,food
The price very reasonable.,"['price', 'reason']",very reasonable;,price reasonable;,price
"Dessert - can't be missed, so save room!!!","['room', 'dessert', 'save', 'miss']",n't be;so save;save room;,dessert missed;n't missed;room save;,food
"It can be a little confusing as to where one goes to order, but once the food is ordered, you are in for a treat.","['littl', 'one', 'confus', 'go', 'food', 'treat', 'order']",little confusing;,it be;little confusing;one goes;food ordered;you are;,food
"Take a good sense of humor,an American express card with no limit, walk out with a lollipop,gift bag in hand and enough marketing materials for alain to to take the show on the road","['humor', 'good', 'gift', 'take', 'bag', 'enough', 'express', 'card', 'limit', 'sens', 'walk', 'show', 'market', 'lollipop', 'alain', 'road', 'materi', 'american', 'hand']",good sense;american express;enough marketing;,good sense;sense take;american card;card walk;enough materials;show take;,price
Ingredients are organic which is a real plus for me.,"['ingredi', 'real', 'organ', 'plu']",real plus;,ingredients are;which is;,food
It was so bad I actually refused to pay for my food.,"['food', 'bad', 'actual', 'pay', 'refus']",so bad;bad i;actually refused;,it was;i refused;,anecdotes/miscellaneous
I recommend this spot to anyone who enjoys  fine cuisine at reasonable prices.,"['anyon', 'reason', 'recommend', 'cuisin', 'enjoy', 'spot', 'price', 'fine']",i recommend;fine cuisine;reasonable prices;,i recommend;spot recommend;who enjoys;fine cuisine;cuisine enjoys;reasonable prices;,anecdotes/miscellaneous
"This is, by far, my favorite restaurant in NYC and I only wish it were more affordable so I could go more often!","['afford', 'could', 'go', 'restaur', 'wish', 'far', 'nyc', 'favorit', 'often']",favorite restaurant;only wish;more affordable;more often;,this is;favorite restaurant;i wish;it were;i go;,anecdotes/miscellaneous
"The staff was very attentive, the ambience lovely, and the food superb.","['ambienc', 'superb', 'attent', 'staff', 'love', 'food']",very attentive;,staff was;ambience lovely;,food
"I love when restaurants think using fancy expensive ingrediants makes the food fine cuisine, even with no idea how to use them.","['make', 'think', 'love', 'use', 'expens', 'restaur', 'cuisin', 'fanci', 'ingredi', 'idea', 'food', 'even', 'fine']",using fancy;fancy expensive;expensive ingrediants;food fine;fine cuisine;,i love;restaurants think;fancy ingrediants;expensive ingrediants;ingrediants using;fine cuisine;cuisine makes;them use;,food
THe Pizza and wine were excellent-the service too--but what really MADE this place was the backyard dining area.,"['area', 'place', 'make', 'realli', 'wine', 'servic', 'excel', 'backyard', 'pizza', 'din']",excellent-the service;really made;dining area;,pizza were;what made;place was;,food
THE FRANKENSTEIN SHOW WAS THE BEST.,"['frankenstein', 'best', 'show']",,show was;,anecdotes/miscellaneous
"The waiters are sweet, the food is tasty and the bill is never too large.","['tasti', 'sweet', 'never', 'waiter', 'bill', 'larg', 'food']",never too;too large;,waiters are;food is;bill is;never is;,food
"As a fan of Thai, I have tried quite a few different restaurants in NYC and this one was definitely the worst.","['thai', 'worst', 'one', 'fan', 'tri', 'restaur', 'quit', 'differ', 'nyc', 'definit']",few different;different restaurants;,i tried;different restaurants;restaurants tried;one was;,anecdotes/miscellaneous
"The service was superb, they treat you like family.","['superb', 'famili', 'servic', 'like', 'treat']",,service was;they treat;you treat;,service
"We all had the tasting menu and unlike some of the other reviews, I felt there was more than enough food.","['enough', 'review', 'menu', 'tast', 'unlik', 'felt', 'food']",other reviews;,we had;menu had;other reviews;i felt;enough food;,anecdotes/miscellaneous
"It only took about five or so minutes to get an empty table, but standing up wasn't too bad.","['stand', 'minut', 'take', 'get', 'tabl', 'bad', 'empti', 'five']",only took;empty table;n't too;too bad;,it took;minutes took;empty table;table get;n't was;,service
"The menu may be small, but everything on it is delicious.","['small', 'delici', 'may', 'everyth', 'menu']",,menu be;everything is;,food
Too bad Latin Quarters closed.,"['close', 'bad', 'quarter', 'latin']",too bad;bad latin;latin quarters;,bad quarters;latin quarters;quarters closed;,anecdotes/miscellaneous
They had scrapped the bottom of the vessel in which they make the rice -RESULT - WE HAD LARGE CHUNKS OF BURNT RICE IN OUR SERVING BOWL.,"['scrap', 'make', 'burn', 'rice', 'larg', 'result', 'bowl', 'serv', 'bottom', 'chunk', 'vessel']",large chunks;burnt rice;serving bowl;,they scrapped;bottom scrapped;they make;rice make;we had;large chunks;chunks had;burnt rice;serving bowl;,food
It was divine melts in your mouth.,"['mouth', 'melt', 'divin']",divine melts;,it was;divine melts;,food
Stumbled upon this gem of a pizza place and I will be going back frequently.,"['gem', 'place', 'go', 'stumbl', 'upon', 'frequent', 'back', 'pizza']",pizza place;back frequently;,i going;,anecdotes/miscellaneous
I live a block away and go to Patsy's frequently.,"['frequent', 'patsi', 'block', 'go', 'away', 'live']",i live;,i live;,anecdotes/miscellaneous
"- for dessert we split chocolate cake and vanilla gelato (with espresso), which were tasty, but I thought a bit overpriced.","['split', 'dessert', 'gelato', 'tasti', 'cake', 'think', 'vanilla', 'bite', 'espresso', 'chocol', 'overpric']",chocolate cake;i thought;bit overpriced;,we split;cake split;which were;i thought;,food
"When I visited my friend who lives in the Upper Eastside, she recommended that we go to this restaurant.","['visit', 'recommend', 'eastsid', 'go', 'restaur', 'live', 'friend', 'upper']",upper eastside;,i visited;friend visited;who lives;upper eastside;she recommended;we go;,anecdotes/miscellaneous
"Warm, comfortable surroundings, nice appointments (witness the etched glass and brickwork separating the dining rooms).","['room', 'separ', 'appoint', 'brickwork', 'comfort', 'wit', 'nice', 'glass', 'etch', 'surround', 'warm', 'din']",comfortable surroundings;nice appointments;etched glass;,warm surroundings;comfortable surroundings;surroundings witness;nice appointments;etched glass;glass separating;rooms separating;,ambience
We ran a little late for the reservation but it wasn't a problem to get our table immediately.,"['littl', 'problem', 'get', 'late', 'reserv', 'tabl', 'immedi', 'run']",little late;,we ran;little late;it was;n't was;table get;,anecdotes/miscellaneous
Kudos Haru,"['kudo', 'haru']",,kudos haru;,anecdotes/miscellaneous
We arrived on time for our reservation and seated promptly.The,"['arriv', 'time', 'reserv', 'promptli', 'seat']",seated promptly.the;,we arrived;,anecdotes/miscellaneous
I plan on eating here more often.,"['often', 'eat', 'plan']",here more;more often;,i plan;,anecdotes/miscellaneous
"I would definitely go back for a very special occasion, but not for regular fine dining.","['go', 'regular', 'occas', 'special', 'would', 'definit', 'back', 'din', 'fine']",definitely go;very special;special occasion;regular fine;fine dining;,i go;special occasion;not for;regular dining;fine dining;,anecdotes/miscellaneous
"The well mannered, pleasant staff that Tony has in his employ.","['manner', 'staff', 'employ', 'toni', 'well', 'pleasant']",pleasant staff;,mannered staff;pleasant staff;that has;tony has;,service
The flavors robust and subtle.,"['flavor', 'subtl', 'robust']",,robust flavors;,food
I came here for my friend's birthday and keep coming back ever since.,"['friend', 'keep', 'ever', 'sinc', 'birthday', 'back', 'come']",back ever;,i came;,anecdotes/miscellaneous
"All I can say is $2 pints during happy hour and the some of the cheapest oysters you'll find in the city, though the quality is some of the best.","['citi', 'though', 'best', 'happi', 'say', 'cheapest', 'oyster', 'hour', 'qualiti', 'find', 'pint']",happy hour;cheapest oysters;,all is;i say;happy hour;cheapest oysters;you find;quality is;,food
"I would never wait for a table to eat, it just is not THAT great.","['wait', 'eat', 'never', 'tabl', 'would', 'great']",never wait;just is;,i wait;never wait;table eat;it is;not is;that is;,anecdotes/miscellaneous
"We concluded with tiramisu chocolate cake, both were delicious.","['delici', 'cake', 'chocol', 'tiramisu', 'conclud']",tiramisu chocolate;,we concluded;both were;,food
The counter service is bad.,"['counter', 'bad', 'servic']",,counter service;service is;,service
I had a grat time at Jekyll and Hyde!,"['jekyl', 'hyde', 'time', 'grat']",grat time;,i had;grat time;time had;,anecdotes/miscellaneous
"Service here was great, food was fantastic.","['food', 'fantast', 'great', 'servic']",here was;,service was;food was;,food
"its a little out of the way if you don't live in the neighborhood, but definitely worth the trip from wherever you are.","['littl', 'way', 'live', 'neighborhood', 'trip', 'worth', 'wherev', 'definit']",n't live;,you live;n't live;trip worth;you are;,anecdotes/miscellaneous
"This is such a lovely, peaceful place to eat outside.","['peac', 'eat', 'outsid', 'place', 'love']",peaceful place;,this is;lovely place;peaceful place;,ambience
and we were thouroughly disapointed.,"['disapoint', 'thouroughli']",thouroughly disapointed;,we disapointed;,anecdotes/miscellaneous
This is the Jackel and Hideof the restaurants on the UES.,"['hideof', 'jackel', 'ue', 'restaur']",,this is;restaurants hideof;,anecdotes/miscellaneous
The sauce is delicious and the crust is perfect.,"['perfect', 'delici', 'crust', 'sauc']",,sauce is;crust is;,food
"This is a great place to take out-of-towners, and perfect for watching the sunset.","['take', 'place', 'perfect', 'towner', 'great', 'sunset', 'watch']",great place;take out-of-towners;,this is;great place;sunset watching;,anecdotes/miscellaneous
Since my first dinner I have had the chance to have brunch at Orsay 3x.,"['chanc', 'orsay', 'brunch', 'x', 'dinner', 'first', 'sinc']",first dinner;have brunch;,first dinner;i had;chance had;brunch have;orsay 3x;,anecdotes/miscellaneous
"You will pay a lot for the decore, but the food is no better or worse than a lot of other Chinese and Asian fusion places in NY.","['place', 'wors', 'ny', 'asian', 'lot', 'chines', 'food', 'decor', 'better', 'fusion', 'pay']",other chinese;asian fusion;,you pay;lot pay;food is;no better;other places;chinese fusion;asian fusion;,food
They have some great entrees here as well.,"['entre', 'great', 'well']",great entrees;here as;as well;,they have;great entrees;entrees have;,food
"Our teenage kids love it, too.","['love', 'teenag', 'kid']",,teenage kids;kids love;it love;,anecdotes/miscellaneous
The service is not consistently excellent -- just decent.,"['consist', 'servic', 'excel', 'decent']",not consistently;consistently excellent;,service is;not is;,service
"The food, served in small tasting portions (as an option) is very good with each dish being better than the next.","['small', 'good', 'option', 'dish', 'next', 'food', 'serv', 'better', 'portion', 'tast']",small tasting;very good;,food is;small portions;dish being;,food
You guys are awesome!,"['awesom', 'guy']",,guys are;,anecdotes/miscellaneous
"They do cater to American palates, but if you like it hot let them know and they are more than willing to oblige!","['know', 'hot', 'palat', 'like', 'cater', 'oblig', 'will', 'american', 'let']",american palates;hot let;,they cater;american palates;you like;it hot;them know;they are;willing than;,food
I loved this place!!,"['love', 'place']",,i loved;place loved;,anecdotes/miscellaneous
I had the mango chicken and i can't go on to tell you how delicious that was and the presentation was beatiful.,"['delici', 'tell', 'mango', 'go', 'chicken', 'present', 'beati']",n't go;,i had;chicken had;i go;n't go;you tell;that was;presentation was;,food
I care more about the food and ambience.,"['food', 'ambienc', 'care']",,i care;,food
"Oh, but wait, we were out of drinks (which were also delightfully overpriced).","['wait', 'oh', 'also', 'drink', 'delight', 'overpric']",also delightfully;delightfully overpriced;,we were;which overpriced;,food
Avoid at all costs.,"['avoid', 'cost']",,,anecdotes/miscellaneous
I would highly recommend this place to everyone for any occasion!,"['highli', 'place', 'recommend', 'occas', 'everyon', 'would']",highly recommend;,i recommend;place recommend;,anecdotes/miscellaneous
The service is fantastic.,"['fantast', 'servic']",,service is;,service
I recommend that you try this hidden spot which will surely blowup very soon,"['soon', 'recommend', 'tri', 'sure', 'spot', 'hide', 'blowup']",i recommend;hidden spot;surely blowup;very soon;,i recommend;you try;hidden spot;spot try;which blowup;,anecdotes/miscellaneous
The garlic mashed potatoes are hands down the best in the city!,"['citi', 'mash', 'potato', 'best', 'garlic', 'hand']",mashed potatoes;,garlic potatoes;mashed potatoes;potatoes are;,food
Food and service was okay.,"['food', 'okay', 'servic']",,food was;,food
"great for a romantic evening, or a fun evening with friends...","['romant', 'fun', 'great', 'friend', 'even']",romantic evening;fun evening;,romantic evening;fun evening;,ambience
The lamb meat was under-cooked and EXTRMELY CHEWY.,"['lamb', 'extrm', 'cook', 'meat', 'chewi']",lamb meat;,meat was;cooked chewy;,food
The best pad thai i've ever had.,"['thai', 'ever', 'best', 'pad']",best pad;ever had;,best pad;i had;,food
"Over time, the food quality has decreased substantially, it is a lot less crowded than it used to, and the service must definitely be part of the reason.","['substanti', 'time', 'reason', 'use', 'decreas', 'must', 'lot', 'qualiti', 'less', 'servic', 'food', 'part', 'definit', 'crowd']",lot less;less crowded;definitely be;be part;,quality decreased;it is;it used;service be;,food
Great pizza and fantastic service.,"['fantast', 'great', 'servic', 'pizza']",great pizza;fantastic service;,great pizza;fantastic service;,food
We were seated outside and the waiter spilled red wine and hot tea on myself and my date.,"['red', 'outsid', 'date', 'waiter', 'spill', 'tea', 'hot', 'wine', 'seat']",red wine;hot tea;,we seated;waiter spilled;red wine;wine spilled;hot tea;,service
i would just ask for no oil next time.,"['time', 'oil', 'next', 'ask', 'would']",just ask;oil next;next time;,i ask;next time;,anecdotes/miscellaneous
"While this is a pretty place in that overly cute French way, the food was insultingly horrible.","['way', 'place', 'cute', 'french', 'insultingli', 'pretti', 'horribl', 'food', 'overli']",pretty place;overly cute;cute french;french way;insultingly horrible;,this is;pretty place;cute way;french way;food was;,food
I went there for lunch and it was not as good as I expected from the reviews I read.,"['good', 'lunch', 'go', 'review', 'read', 'expect']",i went;not as;as good;,i went;it was;not was;i expected;i read;,anecdotes/miscellaneous
I really didn't know what to expect for a restaurant that literally overlooks the main hall of Grand Central.,"['central', 'know', 'grand', 'restaur', 'liter', 'realli', 'overlook', 'main', 'expect', 'hall']",really did;n't know;literally overlooks;main hall;grand central;,i know;n't know;what expect;that overlooks;main hall;hall overlooks;grand central;,anecdotes/miscellaneous
None of that yucky whipped stuff.,"['yucki', 'none', 'whip', 'stuff']",whipped stuff;,yucky stuff;whipped stuff;,food
"The wine list isn't great, and the desserts are shipped in from Bruno's down the street, which is not as good as it used to be.","['dessert', 'good', 'ship', 'use', 'list', 'wine', 'bruno', 'great', 'street']",wine list;n't great;not as;as good;,list is;n't is;desserts shipped;which is;not is;it used;,food
I ordered a Lassi and asked 4 times for it but never got it.,"['time', 'never', 'get', 'lassi', 'ask', 'order']",never got;,i ordered;lassi ordered;times asked;never got;it got;,service
Their coffee is quite good too!,"['good', 'quit', 'coffe']",quite good;,coffee is;,food
I would not recommend this place to anyone.,"['anyon', 'recommend', 'would', 'place']",not recommend;,i recommend;not recommend;place recommend;,anecdotes/miscellaneous
"great wine list (italian), good food, service was INITIALLY fine.","['good', 'italian', 'initi', 'list', 'wine', 'servic', 'food', 'great', 'fine']",great wine;wine list;good food;initially fine;,great list;list was;good food;,food
"Despite the fact that the space is large, they've overcrowded the floor with tables.","['space', 'despit', 'fact', 'tabl', 'floor', 'larg', 'overcrowd']",,space is;they overcrowded;floor overcrowded;,ambience
"i know, you were too busy showing off your vintage tee shirt and looking bored, but my agenda is i'm here to eat and enjoy the company of friends, seeking a pleasant experience.","['eat', 'bore', 'shirt', 'know', 'busi', 'look', 'vintag', 'agenda', 'enjoy', 'experi', 'show', 'compani', 'tee', 'friend', 'pleasant', 'seek']",too busy;busy showing;i 'm;pleasant experience;,i know;you were;vintage shirt;shirt showing;agenda is;i 'm;company enjoy;pleasant experience;experience seeking;,service
"As far as the service goes, the waitresses were not particularly friendly, but they got the job done.","['particularli', 'friendli', 'get', 'job', 'go', 'do', 'waitress', 'servic', 'far']",as far;not particularly;particularly friendly;,service goes;waitresses were;not were;they got;job done;,service
"They are not helpful in the least and will give you the grand run around so by the time the event date rolls around you will not only regret chosing this place, but also become hostile!","['roll', 'regret', 'event', 'give', 'time', 'least', 'date', 'place', 'grand', 'run', 'around', 'becom', 'also', 'chose', 'help', 'hostil']",not helpful;grand run;around so;not only;only regret;also become;,they are;not are;grand run;run give;date rolls;rolls regret;place chosing;,service
