lemmas,bigrams
"['areal', 'enjoy', 'servic', 'realli', 'good', 'food', 'great']",really enjoy;areally great;great food;really good;
"['flan', 'sopaipilla', 'dessert', 'includ']",include flan;
"['small', 'crazi', 'starv', 'drive', 'portion']",small portions;
"['inconsider', 'staff', 'loud', 'wait']",wait staff;
"['lack', 'dramat', 'servic', 'howev', 'food']",dramatically lacking;
"['cell', 'bigger', 'sushi', 'phone', 'block', 'cut']",blocks bigger;
"['hot', 'nice', 'soup', 'alway', 'servic', 'arriv', 'great']",always arrives;
"['crepe', 'forget', 'delici', 'awhil']",i forgot;delicious crepes;
"['montparnass', 'creme', 'brule', 'appl', 'restaur', 'dessert', 'tart', 'especi', 'paper', 'thin', 'make', 'good', 'silken', 'worth', 'enough', 'trip']",silken creme;paper-thin apple;
"['restaur', 'year', 'friend', 'weekend', 'take', 'tell', 'final']",finally took;
"['creol', 'delici', 'shrimp']",delicious shrimp;
"['chicken', 'dinner', 'real', 'good']",real good;
"['dous', 'unless', 'chili', 'depart', 'flame', 'want', 'bewar', 'mouth', 'fire', 'item', 'sign', 'food', 'call']",signed food;
"['design', 'decor', 'restaur', 'style', 'japanes', 'contemporari']",contemporary japanese;japanese style;
"['food', 'delici']",
"['rib', 'coupl', 'beef', 'rice', 'coconut', 'tri', 'sizzl']",sizzling beef;coconut rice;
"['littl', 'drawback', 'pricey']",only drawback;little pricey;
"['place', 'everyth', 'wonder']",
"['person', 'salad', 'fave', 'avocado']",personal fave;
"['rib', 'honey', 'tip', 'yummi', 'bbq']",
"['food', 'chines', 'best', 'uptown']",best chinese;chinese food;
"['happi', 'know', 'backward', 'make', 'servic', 'bend', 'everyon']",make everyone;everyone happy;
"['littl', 'attract', 'uncomfort', 'atmospher']",little uncomfortable;
"['staff', 'friendli']",very friendly;
"['waiter', 'friendli', 'pasta', 'world']",very friendly;
"['list', 'cocktail', 'menu', 'wine', 'great']",great wine;wine list;great cocktail;
"['rib', 'cake', 'crab', 'perfect', 'bbq', 'delici']",
"['art', 'wonder', 'delici', 'simpli', 'do', 'food']",artfully done;simply delicious;
"['servic', 'tini', 'restaur', 'fast']",tiny restaurant;very fast;fast service;
"['may', 'sinc', 'distint', 'sauc', 'everyon']",not be;
"['time', 'husband', 'highest', 'dessert', 'free', 'give', 'least', 'alway', 'servic', 'often']",always been;highest service;often free;free desserts;
"['atmospher', 'perfect', 'beauti', 'appet', 'drink']",drinks and/or;and/or appetizers;
"['sinc', 'curioni', 'pizza', 'around']",
"['jersey', 'best', 'new', 'make', 'pizza']",best pizza;new jersey;
"['summer', 'year', 'visit', 'away', 'recent', 'past']",recently visited;past summer;
"['dynam', 'stand', 'list', 'averag', 'extens', 'beer', 'comfort', 'servic', 'differ', 'better', 'realli', 'food']",very comforting;really standed;extensive beer;
"['chines', 'frankli', 'make', 'home', 'better', 'food', 'someth']",chinese food;here is;is something;
"['waiter', 'whole', 'restaur', 'one', 'upstair']",whole restaurant;
"['also', 'asparagu', 'scallop', 'chees', 'shell', 'crab', 'soft', 'well', 'start', 'plate']",also had;soft shell;as well;cheese plate;
"['excel', 'servic', 'overlook']",
"['without', 'worst', 'hotdog', 'ever', 'question', 'one']",worst hotdogs;ever had;
"['unbeliev', 'dream', 'gosht', 'staff', 'saag', 'good', 'friendli']",unbelievably friendly;i dream;so good;
"['garlic', 'knot', 'recommend', 'also']",also recommend;garlic knots;
"['best', 'ever', 'eat', 'indian', 'food']",best indian;indian food;ever eaten;
['dissapoint'],n't be;
"['place', 'pizza', 'best']",best pizza;
"['far', 'restaur', 'area', 'culinaria', 'district', 'better', 'addit', 'garment', 'welcom']",welcome addition;far better;
"['heavi', 'littl', 'sometim', 'music', 'tast']",too heavy;
"['without', 'excel', 'servic', 'alway', 'inform', 'air']",always informative;
"['staff', 'owner', 'feel', 'make', 'comfort', 'length', 'go', 'great']",great lengths;
"['stand', 'dungeon']",n't stand;
"['fresh', 'sushi', 'vari', 'pretti', 'menu', 'alway', 'yummi']",always fresh;pretty varied;
"['great', 'sushi', 'amaz', 'good', 'us', 'food', 'cook']",cooked food;
"['dinner', 'fantast', 'special']",
"['make', 'like', 'delish']",
"['atmospher', 'nice', 'drink', 'din', 'food', 'great']",great food;great drinks;nice dining;
"['pay', 'restaur', 'least', 'expect', 'japanes', 'food', 'price', 'par']",other japanese;japanese restaurants;
"['portion', 'small', 'food', 'averag']",below average;
"['place', 'avoid', 'favor', 'cost']",
"['come', 'time', 'sinc', 'first', 'hook']",first time;here i;i 've;
"['back', 'one', 'comfort', 'chair', 'sit']",comfortable chairs;
"['peopl', 'seem', 'neighborhood', 'love']",
"['conclus', 'place', 'suck']",
"['de', 'pastor', 'taco', 'tinga', 'fav', 'tostada']",here are;tacos pastor;
"['squar', 'area', 'check', 'herald', 'madison', 'one', 'worthi', 'go', 'garden', 'happen', 'stef', 'place', 'nick']",nick stef;only places;square check;
"['impress', 'tell']",
"['back', 'decor', 'lay', 'manag', 'nice', 'realli', 'comfi', 'trendi', 'bartend']",really nice;very comfy;
"['hot', 'meal', 'soup', 'sandwich', 'sour', 'take', 'tri', 'savori']",savory take;sandwich meal;sour soup;
"['food', 'atmospher', 'excel', 'servic', 'cool', 'drink', 'bar', 'delici', 'great']",great drinks;excellent service;delicious food;
"['divin', 'shrimp', 'pea', 'also', 'appet', 'chick']",
"['get', 'bad', 'back', 'talk', 'sick', 'servic', 'obnoxi', 'smirk', 'final', 'snotti']",bad service;obnoxious smirks;snotty back;
"['agav', 'never']",never been;
"['drop', 'look', 'coin', 'complet', 'especi', 'someon', 'impress', 'worth', 'go']",impress someone;
"['cook', 'awesom', 'order', 'lamb', 'perfectli', 'tast']",ordered lamb;perfectly cooked;tasted awesome;
"['like', 'fri', 'shell', 'crab', 'soft', 'especi', 'sandwich']",soft shell;
"['food', 'kong', 'style', 'look', 'hong', 'authent']",authentic hong;hong kong-style;kong-style food;
"['find', 'visit', 'ue', 'live', 'firend', 'west', 'side', 'wife']",west side;visiting firends;
"['food', 'wine', 'good']",good food;food good;good wine;
"['find', 'nice', 'neighborhood']",nice find;
"['pleasant', 'staff', 'extrem', 'friendli']",extremely friendly;
"['soon', 'one', 'do', 'immedi', 'person', 'plate', 'pick', 'ask']",as soon;
"['place', 'french', 'italian']",not french;
"['esca', 'celebr', 'nite', 'bf', 'last', 'mani', 'birthday', 'go', 'review', 'great']",so many;many great;great reviews;birthday last;last nite;
"['world', 'delici', 'sushi', 'kitchen', 'food']",
"['restaur', 'uncheck', 'request', 'heat', 'problem', 'boot', 'coat', 'degre']",
"['cute', 'atmospher', 'excel', 'extrem', 'lush', 'servic', 'everyth', 'scrumptiou', 'waitress']",excellent service;cute waitresses;extremely lush;
"['food', 'tradit', 'simpl', 'italian']",simple italian;italian food;
"['month', 'spend', 'lou', 'anniversari', 'girlfriend']",just spent;lou lou;
"['usual', 'sushi', 'quit', 'excel', 'sashimi', 'good', 'around', 'roll', 'food', 'level']",all-around good;usually excellent;not quite;same level;
"['littl', 'sashimi', 'thinli', 'cut']",
"['terrac', 'without', 'bay', 'noth', 'mall', 'almost', 'ok']",is nothing;
"['better', 'price', 'could', 'chinatown']",
"['blast', 'husband']",
"['money', 'person', 'say', 'save']",personally i;i say;
"['like', 'product', 'dotp', 'nj', 'sandwich', 'us', 'addit', 'ham', 'tator', 'taylor', 'boy', 'featur', 'pork', 'delici', 'breakfast', 'hot', 'english', 'muffin', 'girl', 'thing', 'great', 'jersey', 'dog', 'wonder', 'know', 'tot', 'base']",great hot;hot dogs;wonderful breakfast;great things;english muffins;delicious nj-based;nj-based pork;jersey girls;
"['believ', 'live', 'name']",
"['manag', 'chill', 'rude', 'well', 'happen', 'wait', 'tell', 'graceless', 'us', 'drink', 'minut', 'bartend']",rude bartender;then tells;
"['tabl', 'atmospher', 'beacus', 'convers', 'comfort', 'servic', 'around', 'romant', 'easi', 'form', 'great']",not only;only is;service great;forming conversation;so easy;
"['chilli', 'edibl', 'dish', 'arriv', 'green', 'definit', 'blaze', 'human']",green chillis;definitely not;not edible;
"['actual', 'absolut', 'worst', 'order', 'averag', 'ever', 'peopl', 'give', 'meal', 'servic', 'food', 'experi']",absolute worst;worst service;ever experienced;below average;actually gave;gave people;
"['lunch', 'dine', 'take']",
"['far', 'best', 'new', 'york', 'past']",best past;new york;
"['perform', 'time', 'sever', 'attend', 'eat', 'afternoon']",here several;several times;
"['everyth', 'cheap']",very cheap;
"['fresh', 'concoct', 'one', 'accompani', 'juic', 'food', 'sure']",fresh juice;
"['reason', 'food', 'price', 'great']",
"['like', 'place', 'soul', 'food', 'clean']",soul food;
"['church', 'see', 'peopl', 'lot', 'eat']",
"['chicken', 'roast', 'salad']",roast chicken;
"['move', 'month', 'regular', 'center', 'custom', 'avenu', 'offic', 'next', 'last', 'juic', 'block', 'gener', 'ninth', 'film']",regular customer;ninth avenue;next block;
"['chicken', 'well', 'good', 'tuna', 'avocado']",very good;good chicken;good tuna;as well;
"['kind', 'place', 'like', 'support']",
"['terribl', 'meal']",
"['dri', 'cold', 'chicken', 'complet', 'flavor', 'sauc', 'side']",completely dried;cold side;not very;very flavorful;
"['ridicul', 'gelato', 'ball', 'wonder', 'hear', 'ever', 'malt', 'milk', 'life', 'anyth']",malted milk;so ridiculously;ridiculously wonderful;
"['public', 'see', 'unbias', 'posit', 'major', 'nyc', 'window', 'review', 'walk']",unbiased positive;positive reviews;major nyc;nyc publications;
"['terribl', 'money', 'much', 'meal', 'way']",too much;much money;terrible meal;
"['anyon', 'go', 'would', 'recommend']",not recommend;recommend anyone;
"['howev', 'servic', 'horribl', 'absolut']",absolutely horrible;
"['con', 'bar', 'servic', 'slow']",slow bar;
"['die', 'dessert', 'also']",
"['btw', 'servic', 'good']",very good;
"['go', 'love', 'back']",
"['come', 'boyfriend', 'nice', 'week', 'later', 'experi']",again had;very nice;nice experience;
"['ginger', 'vinegar', 'black', 'eat', 'shred']",black vinegar;shredded ginger;
"['aw', 'perform', 'like', 'duo', 'plate', 'gag', 'want', 'unattract', 'disco', 'escargot', 'light', 'make', 'overpric', 'look', 'food', 'crawl', 'might', 'pop']",unattractive lighting;most awful;awful disco;disco pop;
"['back', 'definitli']",definitly be;back again;
"['citi', 'italian', 'best', 'restaur']",best italian;italian restaurant;
"['coupl', 'cozi', 'go', 'friend', 'place']",cozy place;
"['great', 'owner', 'enjoy', 'make', 'alway', 'servic', 'around', 'sure', 'walk']",always great;
"['waiter', 'need', 'attitu', 'sever', 'adjust']",severe attitue;attitue adjustments;
"['numer', 'la', 'restaur', 'shavu']",numerous shavue;shavue restaurants;
"['horribl', 'away', 'stay', 'experi']",horrible experience;
"['manhattan', 'restaur', 'would', 'definit', 'go', 'often']",definitely go;more often;
"['recommend', 'food', 'delici', 'highli']",highly recommended;
"['come', 'time', 'waiter', 'back', 'pen', 'write', 'order', 'want', 'away', 'excus', 'give', 'job', 'paper', 'take', 'us', 'hard', 'walk']",came time;hard time;away then;then came;
"['citi', 'fav', 'one', 'spot']",fav spots;
"['overr', 'price', 'stay', 'away']",
"['go', 'restaur']",not go;
"['neighborhood', 'sinc', 'give', 'make', 'tri', 'sure']",
"['fantast', 'say']",
"['platter', 'vegetarian', 'salad', 'indulg', 'stick', 'dieter']",vegetarian platters;
"['healthi', 'give', 'meal', 'fill', 'go']",healthy meal;
"['time', 'much', 'would', 'imagin', 'prime', 'go', 'wors']",n't imagine;much worse;prime time;
"['time', 'get', 'sever', 'mammino', 'bettter', 'din']",mammino several;several times;
"['come', 'check', 'someth', 'definit']",
"['restaur', 'sinc', 'live', 'eat', 'fussi', 'food', 'cook']",i 'm;very fussy;
"['outstand', 'servic']",
"['go', 'restaur', 'week']",
"['kip', 'bay', 'movi', 'stop', 'hit', 'theater', 'friend', 'pizza']",i stop;bay movie;
"['alway', 'pizza', 'enjoy']",always enjoy;
"['pretti', 'servic', 'good']",pretty good;
"['return', 'friend', 'go']",i went;few friends;
"['place', 'around', 'year']",few years;
"['chicken', 'yum', 'great']",
"['highli', 'restaur', 'recommend']",highly recommend;
"['find', 'like', 'everyth', 'trio']",find everything;
"['place', 'worst']",
"['last', 'week', 'order']",i ordered;here last;last week;
"['underneath', 'restaur', 'sushi', 'nice', 'locat', 'brooklyn', 'train', 'street', 'station', 'right']",nice sushi;
"['treat', 'food', 'end', 'begin', 'great']",here was;
"['owner', 'host', 'server', 'care', 'person']",
"['hear', 'decid', 'mani', 'tri', 'place', 'magazin']",many magazines;
"['graciou', 'incredibi', 'atmospher', 'host', 'everyth', 'kind', 'food']",gracious hostess;
"['move', 'place', 'truli', 'miss']",truly miss;
"['servic', 'food', 'good', 'great']",very good;
"['usual', 'get', 'beef', 'one', 'vietnames', 'soup', 'noodl']",usually get;vietnamese beef;beef noodle;noodle soup;
"['local', 'like', 'banker', 'least', 'invest', 'sum', 'tri']",local investment;
"['start', 'go', 'dosa', 'hut']",dosa hut;
"['wonder', 'make', 'miser', 'din', 'experi']",dining experience;
"['lot', 'bad', 'potenti']",too bad;
"['hand', 'best', 'new', 'place', 'york', 'indian', 'food']",best indian;indian food;new york;
"['waiter', 'frequent', 'help', 'friendli', 'rememb']",very friendly;
"['interior', 'extrem', 'servic', 'attent', 'charm', 'friendli', 'intim']",extremely friendly;attentive service;
"['work', 'food', 'decor', 'creativ']",as creative;
"['time', 'fairli', 'squar', 'neighborhood', 'new', 'think', 'gain', 'deserv', 'siam', 'recognit']",fairly new;i think;
"['pleasant', 'squar', 'first', 'siam', 'experi']",first experience;very pleasant;
"['time', 'back', 'squar', 'sinc', 'siam', 'everytim', 'mani', 'overal', 'go', 'satisfi']",square many;many times;i am;very satisfied;satisfied overall;
"['absolut', 'menu', 'everyth', 'good', 'select', 'tri', 'delici', 'great']",good selection;absolutely delicious;
"['camino', 'wonder', 'christma', 'do', 'parti']",dos caminos;
"['favorit', 'person', 'nick', 'joe']",personal favorite;
"['zesti', 'nice', 'crust', 'crispi', 'flavor', 'sauc']",
"['citi', 'place', 'sushi', 'best']",best sushi;
"['excel', 'crab', 'realli', 'select', 'roll', 'great']",excellent selection;really great;
"['host', 'server', 'help', 'work', 'everyon', 'bartend']",so helpful;
"['food', 'fantast']",
"['includ', 'favourit', 'lamb', 'potato', 'gnocchi', 'spinach']",
"['glechik', 'anoth', 'everyth', 'cheap', 'thing', 'great']",great thing;very cheap;
"['choos', 'st', 'south', 'lot', 'seaport', 'do', 'walk', 'unfortun', 'lunch', 'end', 'spot']",south st;st seaport;
"['star', 'regular', 'real', 'know', 'sandwich']",real star;
"['provid', 'iberian', 'cart', 'qualiti', 'pair', 'choos', 'chees', 'perfect', 'skill', 'port', 'portugues', 'end']",skillfully chosen;portuguese cheese;cheese cart;perfect iberian;iberian ending;
"['wonder', 'friend', 'burger', 'blueberri', 'pancak']",wonderful blueberry;
"['happi', 'saw', 'even', 'bill', 'food', 'thrill']",so happy;even more;more thrilled;
"['come', 'back', 'restaur', 'would', 'definit']",definitely come;
"['time', 'place', 'prime', 'readi']",just is;n't ready;prime time;
"['fresh', 'actual', 'think', 'perfect', 'one', 'crust', 'make', 'top', 'garden', 'veget']",so fresh;own vegetable;vegetable garden;so perfect;actually thinks;
"['restur', 'quartino', 'favori', 'nyc']",favoriate resturant;
"['get', 'amaz', 'servic', 'alway', 'food', 'love']",always gotten;amazing service;
"['glad', 'solicit', 'wonder', 'creativ', 'see', 'stunningli', 'seem', 'alway', 'us', 'friendli', 'food', 'waitstaff']",always seems;not stunningly;stunningly creative;
"['ravioli', 'love', 'lobster']",
"['tabl', 'friday', 'hang', 'busi', 'order', 'within', 'phone', 'night', 'even', 'minut']",busy friday;
"['come', 'accid', 'dumbo', 'art', 'restaur', 'across', 'meal', 'enjoy', 'thoroughli', 'festiv']",dumbo art;thoroughly enjoyed;
"['get', 'excel', 'servic', 'lot', 'wait', 'price']",
"['compar', 'think', 'chinatown', 'cheap', 'food']",n't cheap;
"['get', 'leav', 'feel', 'need', 'never']",never get;
"['deal', 'sandwich', 'overpric', 'better', 'coffe', 'cosi']",better deal;cosi sandwiches;
"['know', 'leav', 'drink', 'order']",n't know;
"['neighbhorhood', 'spot', 'great']",great neighbhorhood;
"['famili', 'v', 'friend', 'bobb', 'take', 'place', 'great']",great place;
"['repeat', 'restaur', 'best', 'visit', 'pretti', 'east', 'one', 'japanes', 'modest', 'worth', 'villag', 'price', 'solid']",best japanese;japanese restaurant;east village;pretty solid;modest prices;worth repeat;
"['nightmar', 'wait', 'realli', 'good', 'food', 'popular']",so good;so popular;really be;
"['world', 'restaur', 'best', 'citi', 'thing']",here 's;best city;
"['money', 'spend', 'wow', 'realli', 'somewher', 'go']",really wows;
"['restaur', 'cramp', 'crowd', 'old', 'older', 'charm', 'school']",very cramped;old school;
"['gem', 'real', 'place']",real gem;
"['place', 'wonder', 'think']",wonderful place;
"['first', 'seem', 'walk', 'place', 'ambienc', 'great']",first walking;great ambience;
"['kitchenett', 'go', 'weekend', 'brunch']",i went;
"['get', 'food', 'restaur', 'public', 'soul', 'sylvia', 'place']",n't get;sylvias soul;
"['diddi', 'butter', 'mean', 'impress', 'p', 'automat', 'parti']",n't mean;automatically impressed;
"['leav', 'also', 'peopl', 'two', 'reheat', 'well', 'home', 'hungri', 'even', 'take', 'plenti', 'realli', 'food']",very hungry;hungry people;is plenty;taken home;really well;well also;
"['may', 'like', 'mine', 'joe', 'favorit', 'say', 'everyon', 'nick']",not be;be everyone;'s mine;
"['nice', 'extrem', 'rush', 'help', 'us']",extremely nice;not rush;
"['raw', 'dri', 'cold', 'crust', 'make', 'insid', 'burn', 'around', 'somehow']",burnt crust;cold inside;
"['noth', 'food', 'good', 'want']",just good;good food;
"['like', 'know', 'choic', 'pleas', 'block', 'other']",n't know;
"['hype', 'averag', 'cake', 'lot', 'court', 'that']",average cake;
"['love', 'cute', 'simpl']",i loved;
"['bistro', 'wonder', 'visit', 'dinner', 'recent', 'experi', 'wife']",recently visited;wonderful experience;
"['restaur', 'noth', 'perfect', 'servic', 'french', 'italian', 'wrong']",nothing wrong;
"['cruis', 'see', 'want', 'deceid', 'dinner', 'recent', 'take', 'citi', 'fianc']",recently wanted;
"['back', 'order', 'send', 'delmonico', 'steak', 'cook']",not cooked;
"['thing', 'eat', 'menu', 'everytim', 'fill', 'go', 'anyth', 'pick', 'great']",there i;n't pick;pick anything;great things;
"['half', 'chicken', 'mountain', 'rice', 'bean']",
"['fast', 'servic', 'valu', 'realli', 'friendli', 'great']",really fast;
"['food', 'impress', 'valu']",very impressed;
"['tri', 'soup', 'must', 'garlic']",garlic soup;
"['delight', 'casablanca', 'tabouleh', 'falafel', 'humu', 'inexpens', 'delici', 'servc', 'mediterranean']",servces delicious;delicious falafel;other mediterranean;mediterranean delights;very inexpensive;
"['come', 'back', 'bad', 'keep', 'bardolino', 'even']",few bad;bad evenings;i keep;
"['fresh', 'serv', 'make', 'crispi', 'pizza', 'readi']",
"['bistro', 'area', 'one', 'recommend', 'mani', 'midtown', 'french', 'wholheartedli']",many french;french bistros;midtown area;i wholheartedly;wholheartedly recommend;
"['satifi', 'staff', 'accomod', 'make', 'sure']",
"['chef', 'measur', 'alway', 'waldi']",always measures;
"['diamond', 'ruff', 'train', 'definit', 'worth', 'minut', 'walk']",definitely worth;10-minute walk;
"['point', 'easili', 'restaur', 'manhattan', 'make', 'favorit', 'zen', 'palat', 'vegan', 'tri']",vegan restaurants;zen palate;
"['favorit', 'pedro', 'one', 'restaur']",favorite restaurants;
"['fresh', 'price', 'sushi', 'reason']",reasonably priced;very fresh;fresh sushi;
"['go', 'two', 'seafood', 'paella']",
"['apet', 'good', 'sangria']",very good;
"['real', 'restaur', 'see', 'mediocr', 'treasur', 'cantinetta', 'italian']",real treasure;mediocre italian;italian restaurants;
"['get', 'seat', 'prompt', 'away', 'one', 'posit', 'servic', 'server', 'say', 'friendli', 'right', 'thing']",positive thing;right away;very friendly;
"['warmli', 'seat', 'staff', 'excel', 'door', 'promptli', 'food', 'greet']",
"['subject', 'whether', 'anoth', 'one', 'better', 'place', 'pizza', 'often']",often very;very subjective;
"['restaur', 'date', 'nice', 'group', 'realli', 'go']",really nice;nice restaurant;
"['pretti', 'usual', 'servic', 'good']",usually pretty;pretty good;
"['quit', 'rude', 'host']",quite rude;
"['miss', 'anyth']",not be;missing anything;
"['colleg', 'discov', 'away', 'va', 'applebe', 'go']",discovered applebees;
"['staff', 'picki', 'rude', 'meal', 'leon', 'last', 'weekend', 'wait', 'friendli', 'great']",wait staff;very friendly;not rude;.our meal;leon last;last weekend;
"['dish', 'salmon', 'recommend']",i recommend;
"['sweet', 'foie', 'gra', 'lusciou']",
"['season', 'influenc', 'intern', 'show', 'menu', 'region', 'chang']",international influences;
"['yummi', 'chees', 'mac']",
"['brunch', 'menu', 'everyon', 'someth']",had something;
"['singer', 'get', 'shake', 'nice', 'voic', 'make', 'jazz', 'us', 'danc', 'eat', 'cal']",nice voice;
"['find', 'time', 'squar', 'sinc', 'area', 'kill', 'shame', 'love', 'often']",often find;n't love;
"['time', 'much', 'servic', 'quick', 'great']",very quick;quick service;n't have;much time;
"['averag', 'salad', 'soup', 'sandwich', 'food', 'breakfast', 'etc']",
"['disappoint', 'food', 'highli']",highly disappointed;
"['greasi', 'crabcak', 'get', 'serv', 'see', 'chees', 'oven', 'salt', 'start', 'pud', 'banana', 'never', 'way', 'mac']",never seen;are way;n't get;very greasy;greasy mac;
"['staff', 'high', 'brooklyn', 'way', 'price', 'arrog']",are way;way high;
"['averag', 'place', 'best']",
"['prompt', 'servic', 'friendli']",
"['definit', 'place', 'whatev', 'reason']",
"['hot', 'come', 'liter', 'food', 'spot']",hot spot;
"['chill', 'downstair', 'scene', 'cool', 'bar']",downstairs bar;very cool;
"['justifi', 'includ', 'person', 'do', 'say', 'good', 'definit', 'drink', 'food', 'price']",definitely good;n't justify;
"['come', 'casual', 'well', 'enjoy', 'friend', 'alway', 'birthday', 'lunch']",casual lunches;as well;always enjoy;
"['disappoint', 'fan', 'tequila']",tequila fan;not be;
"['like', 'great', 'beer', 'select', 'someth']",great beer;
"['invit', 'mine', 'read', 'join', 'friend', 'downtown', 'tast', 'hard', 'die', 'review', 'great']",great reviews;i invited;die-hard downtown;
"['neg', 'wari', 'sound', 'delivari']",too negative;
"['feel', 'like', 'famili', 'go']",
"['find', 'less', 'much', 'owner', 'silvano', 'good', 'da', 'food', 'expens']",just as;as good;da silvano;just much;much less;less expensive;
"['pasta', 'yum', 'recommend', 'kind', 'gnocchi', 'homemad']",homemade pastas;i recommend;
"['total', 'burn', 'risotto', 'flavor', 'veget', 'infus']",vegetable risotto;burnt flavor;
"['pleasant', 'surpris']",pleasant surprise;
"['price', 'draw', 'main', 'place']",main draw;
"['like', 'busi', 'stay', 'servic', 'hope']",
"['disappoint', 'dinner', 'even', 'top', 'never', 'bite', 'price']",here is;never disappointing;
"['world', 'amaz', 'sandwich', 'soup', 'sorbet', 'pizza', 'etc', 'homemad']",not only;only did;homemade sorbets;
"['unbeliev', 'amaz', 'desert', 'entre', 'thee', 'guacamol', 'homemad']",unbelievable entree;most amazing;amazing deserts;
"['fresh', 'price', 'sushi', 'reason']",reasonably priced;
"['fast', 'delici', 'fuss']",
"['desert', 'die', 'room', 'save']",save room;
"['rib', 'best', 'order', 'churrasco', 'grill', 'thing']",
"['serv', 'tradit', 'cozi', 'set', 'cheap', 'item', 'italian', 'great']",traditional italian;italian items;
"['hot', 'ice', 'whether', 'happi', 'choos', 'white', 'mocha', 'extrem', 'blend', 'sure']",blended mocha;hot white;white mocha;extremely happy;
"['tuesday', 'late', 'last', 'friend', 'lunch']",last tuesday;late lunch;
"['bad', 'feel', 'delish', 'eat']",n't feel;bad eating;
"['time', 'anoth', 'chees', 'friend', 'parmesan', 'ask']",parmesan cheese;
"['appar', 'food', 'one', 'recommend', 'never', 'tri', 'waitress', 'wine']",apparently never;never tried;
"['small', 'place', 'slow', 'portion', 'servic', 'hungri', 'rush', 'bite']",bit slow;bit small;
"['time', 'spirit', 'entertain', 'guest', 'want', 'town', 'bateaux', 'next', 'doubt', 'occas', 'special', 'destin', 'go']",next time;special occasion;entertaining guests;
"['like', 'bako', 'pay', 'jewel', 'want', 'feel', 'groin', 'recommend', 'would', 'kick']",recommend jewel;
"['ambianc', 'pretti', 'hassl', 'cool', 'worth']",pretty cool;
"['ladi', 'quesedilla', 'includ', 'think', 'order', 'ask', 'salad', 'next', 'give', 'instead', 'dress', 'us', 'unfortun']",unfortunate lady;salad dressing;instead given;
"['nido', 'tasti', 'restaur', 'best', 'new', 'water', 'ever', 'one', 'york', 'mouth', 'varieti', 'el', 'pizza', 'great']",el nidos;best restaurants;new york;ever been;great variety;mouth watering;watering pizza;
"['cost', 'outsid', 'leav', 'rel', 'custom', 'averag', 'pretti', 'poor', 'crazi', 'everi', 'well', 'bum', 'place', 'servic', 'harass', 'around', 'food']",pretty poor;average relative;crazy bum;
"['move', 'pay', 'possibl', 'stop', 'staff', 'visit', 'uptown', 'cheap', 'tri', 'friendli', 'food', 'although', 'often', 'great']",uptown i;i try;as often;great cheap;cheap food;friendly staff;
"['friend', 'bar', 'minut', 'wait']",few minutes;
"['chef', 'real', 'need', 'roman', 'vincenzo', 'alway', 'talent']",real talent;real roman;
"['visit', 'want', 'tast', 'indian', 'servic', 'curri', 'good', 'definit', 'look', 'food', 'leaf', 'great']",great indian;indian food;good service;
"['hot', 'kompot', 'stew', 'remind', 'salad', 'rabbit', 'day', 'make', 'home', 'lot', 'soo', 'must', 'odessa', 'good', 'tri', 'way', 'summer', 'mom', 'refresh']",rabbit stew;salads-all good;soo refreshing;hot summer;
"['leav', 'know', 'feel', 'daughter', 'healthi', 'stuff', 'good', 'lunch', 'satisfi', 'felt']",not stuffed;healthy lunch;
"['hang', 'bad', 'keep', 'fave', 'year', 'crowd', 'away', 'give', 'tempt', 'go', 'almost', 'realli', 'citi', 'place', 'review']",almost tempted;bad review;
"['sorri', 'waitress', 'complain', 'say']",
"['local', 'qualiti', 'store', 'groceri', 'par', 'meat']",local grocery;
"['fresh', 'juic', 'smoothi', 'special']",fresh juices;
"['come', 'back', 'first', 'send', 'well', 'do', 'polit']",first came;well done;politely sent;
"['roast', 'best', 'recommend', 'codfish', 'dish', 'even', 'black']",i recommend;black roasted;roasted codfish;best dish;
"['waiter', 'time', 'could', 'els', 'order', 'manag', 'want', 'place', 'menu', 'restur', 'tell', 'whatev', 'us', 'let', 'go', 'annoy']",then told;so annoyed;
"['dark', 'mi', 'chicken', 'burrito', 'noth', 'week', 'last', 'tast', 'warm', 'microwav', 'cook']",here was;was nothing;last week;just warmed;microwave taste;
"['reserv', 'busi', 'recommend', 'make', 'hr']",busy hrs;i recommend;
"['time', 'wast', 'money']",n't waste;
"['like', 'book', 'movi', 'analog', 'good', 'never']",never as;as good;same analogy;
"['warm', 'experi']",very warm;warm experience;
"['brunch', 'stock', 'impress', 'common', 'go']",i went;common stock;so impressed;
"['nikki', 'ok', 'sushi', 'call']",now called;called nikki;
"['quit', 'also', 'serv', 'quickli', 'outstand', 'food']",also outstanding;quite quickly;
"['neg', 'noth', 'night', 'except', 'say', 'cheap', 'worth', 'place']",just have;have nothing;cheap night;so worth;
"['restaur', 'handl', 'chees', 'erbazzon', 'dish', 'mostarda', 'delic', 'care', 'emiliana', 'plate']",cheese plate;delicate care;
"['delici', 'vibe', 'bar', 'food', 'great']",great vibe;
"['hi', 'real', 'expect', 'read']",real hi;
"['candlelight', 'music']",'s candlelight;
"['find', 'nice', 'brooklyn', 'especi', 'hour', 'downtown', 'place', 'open']",downtown brooklyn;
"['healthi', 'unglamor', 'simpl', 'cheap', 'food']",simple healthy;healthy unglamorous;unglamorous food;
